Title,Authors,Year,Journal,Language,CitedByCount,Affiliation,Predicted Subject Area
Collaborative Governance for Public Social Innovation: The case of Gipuzkoa Basque Country,Barandiaran X.,2021,European Public and Social Innovation Review,Unknown Language,6,Universidad de Deusto,"BUSI, SOCI"
Causes and Consequences of the Academic Migration from BRICS Countries to Developed Economies,Khakhuk B.,2021,Electronic Journal of Knowledge Management,Unknown Language,1,Kuban State Technological University,BUSI
Social movements in a time of pandemic: The case of Tech4Covid19 in Portugal,Almeida F.,2021,European Public and Social Innovation Review,Unknown Language,2,Universidade do Porto,SOCI
Mitochondrial Dysfunction Associated with Low Expression of Bcl-2: an Inflammatory Mediator in Diabetic Patients with Atherosclerosis,Almzaiel A.J.,2021,Malaysian Journal of Chemistry,Unknown Language,1,University of Al-Qadisiyah,"CHEM, MEDI"
Active Student Learning through Gamification in a Learning Management System,Raharjo S.R.,2021,Electronic Journal of e-Learning,Unknown Language,16,Universitas Indonesia,SOCI
Immunostimulant Activity of Marchantia paleacea Bertol. Herb Liverwort Ethanol Extract in BALB/c Mice,Purkon D.B.,2021,Indonesian Journal of Pharmacy,Unknown Language,4,Politeknik Kesehatan Kemenkes Bandung; Institut Teknologi Bandung,"HEAL, MEDI, PHAR"
"Ornithological studies in Loreto, Peru: Notes on its history",Salinas L.,2021,Revista Peruana de Biologia,Unknown Language,1,"Facultad de Ciencias Biológicas; Museo de Historia Natural, Lima","ARTS, AGRI"
On the Political Aspects of Declaring an Epidemic in the Vicinity of Velehrad in Moravia on the Eve of the Celebration of the Thousandth Anniversary of St Methodius's Death (1885),Grijak Z.,2021,Povijesni Prilozi,Unknown Language,1,Hrvatski Institut za Povijest,SOCI
The Effectiveness of Cooperative Learning in an Online Learning Environment Through a Comparison of Group and Individual Marks,Malan M.,2021,Electronic Journal of e-Learning,Unknown Language,5,University of Johannesburg,SOCI
CHALLENGES OF IMPROVING PRIVATE ACCOMMODATION BUSINESS IN THE REPUBLIC OF CROATIA,Vlahov A.,2021,Acta Turistica,Unknown Language,1,"University of Zagreb, Faculty of Economics and Business",BUSI
"Student Emotion in Mediated Learning: Comparing a Text, Video, and Video Game",Adams A.,2021,Electronic Journal of e-Learning,Unknown Language,1,"California Polytechnic State University, San Luis Obispo",SOCI
Assessment on Repeatable Mechanical Character of C/SiC Material under the Condition of Simulated Space Shuttle,Tan Z.Y.,2021,Yuhang Xuebao/Journal of Astronautics,Unknown Language,1,Science and Technology on Space Physics Laboratory,"ENGI, EART"
Influence of Coupling of Gas Radiation and Flow Field on Thermal Environment of Mars Entry Vehicle,Nie C.S.,2021,Yuhang Xuebao/Journal of Astronautics,Unknown Language,1,China Academy of Launch Vehicle Technology,"MEDI, ENGI"
Round-trip Transfers to Earth-Moon DRO and Halo for Supporting Lunar Exploration,Zeng H.,2021,Yuhang Xuebao/Journal of Astronautics,Unknown Language,5,China Academy of Space Technology,EART
Heuristic Planning Method of Spacecraft Zero Propellant Maneuver,Wang Z.,2021,Yuhang Xuebao/Journal of Astronautics,Unknown Language,1,Ministry of Industry and Information Technology; Beijing Institute of Technology,SOCI
A Study on Failure Envelopes of HTPB Solid Propellants and Their Evolution,Zhang Z.G.,2021,Yuhang Xuebao/Journal of Astronautics,Unknown Language,5,Academy of Aerospace Solid Propulsion Technology; Northwestern Polytechnical University,MATE
Velocity Planning Algorithm in One-Dimensional Linear Motion for Astronaut Virtual Training,Wang L.,2021,Yuhang Xuebao/Journal of Astronautics,Unknown Language,6,Harbin Engineering University,"MATH, SOCI"
Non-symmetric approximations of functional classes by splines on the real line,Parfinovych N.V.,2021,Carpathian Mathematical Publications,Unknown Language,0,Oles Honchar Dnipro National University,MATH
THE ROLE OF WATERMARK DESCRIPTIONS IN THE ANALYSIS OF OLD AND RARE MATERIAL,Tomić M.,2021,Vjesnik Bibliotekara Hrvatske,Unknown Language,0,Odjel za informacijske znanosti Centar za istraživanje glagoljaštva Sveučilište u Zadru,"MATE, AGRI"
"Study of Anadara antiquata stock in Kuala Puteri Beach, North Sumatra",Mulya M.B.,2021,AACL Bioflux,Unknown Language,3,Universitas Sumatera Utara,"ARTS, DECI"
Approximation characteristics of the isotropic Nikol’skii-Besov functional classes,Yanchenko S.Y.,2021,Carpathian Mathematical Publications,Unknown Language,1,"National Academy of Sciences in Ukraine, Institute of Mathematics",MATH
The use of the isometry of function spaces with different numbers of variables in the theory of approximation of functions,Bushev D.M.,2021,Carpathian Mathematical Publications,Unknown Language,12,Lesya Ukrainka Volyn National University,MATH
"LIBRARY SPACES, PROGRAMS, AND SERVICES FOR HIGH SCHOOL STUDENTS IN THE CITY OF ČAKOVEC: PRESENT SITUATION AND NEEDS",Kraljić D.,2021,Vjesnik Bibliotekara Hrvatske,Unknown Language,0,Knjižnica „Nikola Zrinjski“ Čakovec,"COMP, SOCI"
Approximation of classes of periodic functions of several variables with given majorant of mixed moduli of continuity,Fedunyk-Yaremchuk O.V.,2021,Carpathian Mathematical Publications,Unknown Language,1,Lesya Ukrainka Volyn National University,MATH
SIXTY-FIVE YEARS OF THE SESVETE LIBRARY,Mršić I.K.,2021,Vjesnik Bibliotekara Hrvatske,Unknown Language,1,Knjižnice grada Zagreba,"ARTS, SOCI"
A review on connection between meshfree peridynamics and meshfree methods,Hidayat M.I.P.,2021,AIP Conference Proceedings,Unknown Language,2,Institut Teknologi Sepuluh Nopember,"PHYS, SOCI"
Convergence properties of generalized Lupaş-Kantorovich operators,Qasim M.,2021,Carpathian Mathematical Publications,Unknown Language,0,Baba Ghulam Shah Badshah University,MATH
Generalization of Szász operators: quantitative estimate and bounded variation,Bozkurt K.,2021,Carpathian Mathematical Publications,Unknown Language,0,Milli Savunma Üniversitesi,MATH
AUTHORITY CONTROL FOR WORKS AND EXPRESSIONS: AN INSIGHT INTO A SLOVENIAN EXPERIENCE,Budanović M.P.,2021,Vjesnik Bibliotekara Hrvatske,Unknown Language,0,Univerza v Ljubljani,ENGI
THE GREEN LIBRARY OF THE FACULTY OF HUMANITIES AND SOCIAL SCIENCES IN ZAGREB,Zrnić L.,2021,Vjesnik Bibliotekara Hrvatske,Unknown Language,1,"University of Zagreb, Faculty of Humanities and Social Sciences","ARTS, ENVI, SOCI"
HUMAN RESOURCES MANAGEMENT AS A FUNCTION OF MANAGEMENT IN LIBRARY OPERATIONS,Balog A.,2021,Vjesnik Bibliotekara Hrvatske,Unknown Language,0,Veleučilište s pravom javnosti „Baltazar“ Zaprešić,"DECI, SOCI"
Lupaş post quantum Bernstein operators over arbitrary compact intervals,Khan A.,2021,Carpathian Mathematical Publications,Unknown Language,0,Aligarh Muslim University,"MATH, PHYS"
Pattern-Based Deep Learning Method to Extract Information from the Log Dataset,Li X.,2021,"Journal of Circuits, Systems and Computers",Unknown Language,1,Wuhan Institute of Shipbuilding Technology,COMP
Chaos of calcium diffusion in Parkinson’s infectious disease model and treatment mechanism via Hilfer fractional derivative,Joshi H.,2021,Mathematical Modelling and Numerical Simulation with Applications,Unknown Language,62,"Lok Jagruti Kendra, Ahmedabad","MATH, MEDI"
The development of the digital competence of future teachers in an online university,Gende I.M.,2021,Bordon. Revista de Pedagogia,Unknown Language,11,International University of La Rioja,SOCI
Creativity and cheerfulness. A comparative study in the educational context,Martínez O.L.,2021,Bordon. Revista de Pedagogia,Unknown Language,1,Universidad de Murcia,SOCI
BGlobal Solar Energy Market and Female Entrepreneurship after the Covid-19 Pandemic,Vukovic N.,2021,Journal Women's Entrepreneurship and Education,Unknown Language,2,HSE University,"BUSI, ECON, SOCI"
The Entrepreneurial Intention of Algerian Women (a Sample Study of Skikda University Female Students),Messikh A.,2021,Journal Women's Entrepreneurship and Education,Unknown Language,5,Université 20 Août 1955-Skikda,"BUSI, ECON, SOCI"
Exploring Possibilities of Integrating Version Control Platforms in Higher Education Through GitHub Data Analysis,Milovanović A.,2021,Journal Women's Entrepreneurship and Education,Unknown Language,0,University of Belgrade,"BUSI, ECON, SOCI"
Do Business-Friendly States Attract Female Entrepreneurs?,Kaya H.,2021,Journal Women's Entrepreneurship and Education,Unknown Language,3,Northeastern State University,"BUSI, ECON, SOCI"
Women's Entrepreneurship in Organic Production in Serbia,Milojević A.,2021,Journal Women's Entrepreneurship and Education,Unknown Language,5,Agricultural University of Plovdiv,"BUSI, ECON, SOCI"
APPLICATION OF CARBOXYTHERAPY IN DERMATOLOGY,Drogovoz S.,2021,Pharmacologyonline,Unknown Language,1,National University of Pharmacy,"MEDI, NURS"
Treatment of Bilateral Endogenous Aspergillus Endophthalmitis with Multiple Intravitreal Voriconazole Injections with Good Visual Outcome,Aboobakar I.F.,2021,Case Reports in Ophthalmology,Unknown Language,0,Wilmer Eye Institute,MEDI
Decompensated Superior Oblique Palsy Secondary to Bilateral Nutritional Optic Neuropathy Following Bariatric Surgery,Nche E.,2021,Case Reports in Ophthalmology,Unknown Language,0,Hadassah University Medical Centre,MEDI
The Relationship Between CEO Duality and Business Firms’ Performance: The Moderating Role of Firm Size and Corporate Social Responsibility,Mubeen R.,2021,Frontiers in Psychology,Unknown Language,55,Harbin Institute of Technology,"BUSI, PSYC, SOCI"
IMPACT OF COVID-19 ON PEDIATRIC OUT-OF-HOSPITAL CARDIAC ARREST IN THE MASOVIAN REGION,Meyer-Szary J.,2021,Disaster and Emergency Medicine Journal,Unknown Language,6,Gdanski Uniwersytet Medyczny,MEDI
Towards sustainable development in a transition economy: The case of eco-industrial parks in Ukraine,Petrushenko M.,2021,Environmental Economics,Unknown Language,12,"State Organization ""Institute of Market and Economic &amp; Ecological Researches of the National Academy of Sciences of Ukraine""; Odesa National University of Technology","ECON, ENVI, SOCI"
PLACE OF TRANEXAMIC ACID IN TRAUMATIC BRAIN INJURY: A SYSTEMATIC REVIEW AND META-ANALYSIS OF RANDOMIZED CONTROLLED TRIALS,Al-Jeabory M.,2021,Disaster and Emergency Medicine Journal,Unknown Language,1,Polonia Academy; Polish Society of Disaster Medicine,"MEDI, NEUR"
RISK OF SPREADING DELTA CORONAVIRUS TO OPERATING ROOM PERSONNEL AFTER COVID-19 VACCINATION,Merajikhah A.,2021,Disaster and Emergency Medicine Journal,Unknown Language,4,Sabzevar University of Medical Sciences,MEDI
SARS-COV-2 VIRUS MUTATION AND LOSS OF TREATMENT AND PREVENTIVE MEASURES AS WE KNOW IT NOW,Chirico F.,2021,Disaster and Emergency Medicine Journal,Unknown Language,11,"Università Cattolica del Sacro Cuore, Campus di Roma; Italian State Police",MEDI
"THE KNOWLEDGE, ATTITUDES, AND PRACTICE (KAP) OF THE IRANIAN PUBLIC TOWARDS COVID-19: A SYSTEMATIC REVIEW",Sahebi A.,2021,Disaster and Emergency Medicine Journal,Unknown Language,4,Ilam University of Medical Sciences,MEDI
OCCUPATIONAL EXPOSURE TO BIOLOGICAL AGENTS IN POLISH PARAMEDICS: A NARRATIVE REVIEW,Gonczaryk A.,2021,Disaster and Emergency Medicine Journal,Unknown Language,5,Marshal’s Office,MEDI
COMMUNITY RISK PERCEPTION IN COVID-19: A NEGLECTED ISSUE IN PUBLIC HEALTH,Safarpour H.,2021,Disaster and Emergency Medicine Journal,Unknown Language,1,Ilam University of Medical Sciences,MEDI
PARAMEDICS’ EDUCATIONAL NEEDS REGARDING CULTURAL COMPETENCE: CROSS-SECTIONAL STUDY OF SELECTED TWO REGIONS OF POLAND,Kiszka J.,2021,Disaster and Emergency Medicine Journal,Unknown Language,0,University of Rzeszów,MEDI
COMMUNICATION SKILLS LEARNING DURING MEDICAL STUDIES IN POLAND: OPINIONS OF FINAL-YEAR MEDICAL STUDENTS,Przymuszala P.,2021,Disaster and Emergency Medicine Journal,Unknown Language,1,Poznan University of Medical Sciences,"MEDI, SOCI"
Digital and economic transformations for sustainable development promotion: A case of OECD countries,Melnyk L.,2021,Environmental Economics,Unknown Language,28,Sumy State University,"ECON, ENVI, SOCI"
SEARCHING FOR NEW PARADIGMS OF MILITARY SOCIOLOGICAL RESEARCH. BOOK REVIEW: SOETERS J. SOCIOLOGY AND MILITARY STUDIES,Smirnov A.I.,2021,Monitoring Obshchestvennogo Mneniya: Ekonomicheskie i Sotsial'nye Peremeny,Unknown Language,0,Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences,SOCI
"SOCIO-DEMOGRAPHIC PROFILES, PERSONALITY TRAITS, VALUES, AND ATTITUDES OF COVID-SKEPTICS IN RUSSIA",Sokolov B.O.,2021,Monitoring Obshchestvennogo Mneniya: Ekonomicheskie i Sotsial'nye Peremeny,Unknown Language,5,HSE University,"SOCI, PSYC"
FROM THE RIGHT TO THE CITY TO THE RIGHT TO SPACE. DYNAMICS OF MUNICIPAL CONFLICTS ON THE EXAMPLE OF THE SVERDLOVSK REGION,Belousov A.B.,2021,Monitoring Obshchestvennogo Mneniya: Ekonomicheskie i Sotsial'nye Peremeny,Unknown Language,2,Institute of Philosophy and Law of the Ural Branch of the Russian Academy of Sciences,"ENVI, MEDI"
Concealing a Secret Message in a Colour Image Using an Electronic Workbench,Khodher M.A.A.,2021,Iraqi Journal of Science,Unknown Language,2,University of Technology- Iraq,"MULT, ECON"
IMPLEMENTING THE «CITY MANAGER» MODEL IN RUSSIA: LIMITATIONS AND ADVANTAGES,Frolova E.V.,2021,Monitoring Obshchestvennogo Mneniya: Ekonomicheskie i Sotsial'nye Peremeny,Unknown Language,0,Financial University under the Government of the Russian Federation,"EART, SOCI"
Engineering and proximate properties of miracle berry fruit (Synsepalum dulcificum L.),Fadeyibi A.,2021,Agricultural Engineering International: CIGR Journal,Unknown Language,7,Kwara State University,ENGI
"POPULISM, TWITTER, and POLITICAL COMMUNICATION: An analysis of Jair Bolsonaro's tweets during the 2018 election campaign",Mangerotti P.,2021,Brazilian Journalism Research,Unknown Language,4,Universidade do Porto,SOCI
"Predation of Rhinella crucifer (Wied-Neuwied, 1821) (Anura: Bufonidae) by giant water bug Lethocerus grandis (Linnaeus, 1758) (Hemiptera: Belostomatidae)",de Macedo K.F.,2021,Graellsia,Unknown Language,0,Universidade Federal de Vicosa,"ENVI, AGRI"
Performance of equations to estimate the hourly actual vapor pressure,Dos Santos A.A.,2021,Agricultural Engineering International: CIGR Journal,Unknown Language,0,Universidade Federal do Parana,ENGI
Effect of moisture content on some mechanical and frictional properties of mucuna bean (mucuna crens) relevant to its cracking,Etim P.J.,2021,Agricultural Engineering International: CIGR Journal,Unknown Language,2,Akwa Ibom State University,ENGI
Bin stored wheat temperature simulation under South Mediterranean climate,Nasr R.B.,2021,Agricultural Engineering International: CIGR Journal,Unknown Language,0,Ecole Supérieure des Ingénieurs de Medjez El Bab,"EART, ENGI"
HEALTH MONITORING OF TYPE 2 DIABETIC PATIENTS CURED OF COVID-19 INFECTION IN DJIBOUTI AND MOROCCO: BIOMEDICAL ANALYSIS AND DIAGNOSTIC,Mohamed Abdoul-Latif F.,2021,Pharmacologyonline,Unknown Language,0,Center for Research and Study of Djibouti,MEDI
Health locus of control among patients operated on for colorectal cancer,Darnikowska J.,2021,Polski Przeglad Chirurgiczny/ Polish Journal of Surgery,Unknown Language,4,Medical University of Lodz,MEDI
"Performance evaluation of portable milking machine on machine economy, milk yield, milking time, and milk constituents of Nepalese Cattle",Khatri S.,2021,Agricultural Engineering International: CIGR Journal,Unknown Language,2,Nepal Agricultural Research Council,"COMP, ENGI"
"Diversity and conservation of bats from Loreto, Peru",Graham-Angeles L.,2021,Revista Peruana de Biologia,Unknown Language,3,"Museo de Historia Natural, Lima","AGRI, ENVI"
Can BMI be a predictor of perioperative complications in Head and Neck cancer surgery?,Joshi K.D.,2021,Polski Przeglad Chirurgiczny/ Polish Journal of Surgery,Unknown Language,2,Homi Bhabha National Institute,MEDI
Blastocystis sp. infection in dairy cattle in Yunnan Province and its gene subtype analysis,Pu L.H.,2021,Chinese Journal of Parasitology and Parasitic Diseases,Unknown Language,2,Yunnan Agricultural University,"IMMU, MEDI"
Exploring the value of remote imaging and multi-disciplinary team in diagnosis and treatment of hepatic echinococcosis in Qinghai Province,Chang Y.X.,2021,Chinese Journal of Parasitology and Parasitic Diseases,Unknown Language,0,Qinghai University,"IMMU, MEDI"
"Diversity and conservation of the large mammals from Loreto, Peru",Diaz S.,2021,Revista Peruana de Biologia,Unknown Language,3,"Museo de Historia Natural, Lima","AGRI, ENVI"
Research progress on proteomics in Schistosoma japonicum,Hong Y.,2021,Chinese Journal of Parasitology and Parasitic Diseases,Unknown Language,0,Chinese Academy of Agricultural Sciences,"IMMU, MEDI"
TWEET and RETWEET JOURNALISM during the PANDEMIC: Dissemination of and engagement with news on Twitter,Barbosa B.,2021,Brazilian Journalism Research,Unknown Language,0,Universidade do Porto,SOCI
"Categorization deficiencies and research needs in threatened species: An analysis of the vertebrates and plants of the department of Loreto, Peru",Daniel Cossios E.,2021,Revista Peruana de Biologia,Unknown Language,0,Biosfera Consultores Ambientales,"AGRI, ENVI"
Evaluation of efficacy of visual intelligent recognition model for Oncomelania hupensis based on deep learning technology,Shi L.,2021,Chinese Journal of Parasitology and Parasitic Diseases,Unknown Language,2,Jiangnan University,"COMP, IMMU, MEDI"
Research progress on the interaction between host cell autophagy and apicomplexa protozoa infection,Lu F.,2021,Chinese Journal of Parasitology and Parasitic Diseases,Unknown Language,0,Hangzhou Medical College,"IMMU, MEDI"
Updated checklist of the amphibians from Loreto Department,Aguilar C.A.,2021,Revista Peruana de Biologia,Unknown Language,2,"Museo de Historia Natural, Lima; Universidad Nacional Mayor de San Marcos","AGRI, MATH"
Modification of a cocoa pod divergent roller grader,Visvanathan R.,2021,Agricultural Engineering International: CIGR Journal,Unknown Language,0,Tamil Nadu Agricultural University,ENGI
Effect of chemical-hydrothermal pretreatments on compositional and morphological changes of spruce wood exploited in biogas systems,Rahimi-Ajdadi F.,2021,Agricultural Engineering International: CIGR Journal,Unknown Language,0,University of Guilan,"ENGI, AGRI"
"The birds from Department of Loreto, Peru",Salinas L.,2021,Revista Peruana de Biologia,Unknown Language,5,"Facultad de Ciencias Biológicas; Museo de Historia Natural, Lima","VETE, MATH"
Risk assessment of schistosomiasis transmission along the middle and lower reaches of Yangtze River after flooding in 2020,Guo S.Y.,2021,Chinese Journal of Parasitology and Parasitic Diseases,Unknown Language,6,Chinese Center for Disease Control and Prevention,"IMMU, MEDI"
Updated checklist of the reptiles from Loreto Department,Aguilar C.A.,2021,Revista Peruana de Biologia,Unknown Language,2,"Museo de Historia Natural, Lima; Universidad Nacional Mayor de San Marcos","AGRI, MATH"
Green Synthesis and Characterization of Gold Nanoparticles from Malus viridisand Capsicum annuum as AnticancerAgent,Abdulwahed S.H.,2021,Journal of Physics: Conference Series,Unknown Language,0,University of Baghdad,"ENVI, MATE, PHYS"
Synthesis of Polyaniline–CeriumOxide Nanocomposite forPhotodetector Application,Hassen M.M.,2021,Journal of Physics: Conference Series,Unknown Language,4,University of Baghdad,PHYS
Development of Effectual Substrates for SERS by Nanostructures-on flexible surfaces,Humud H.R.,2021,Journal of Physics: Conference Series,Unknown Language,1,University of Baghdad,PHYS
Study hybrid Treatment Technologies using (MBBR with Electro-flotation) for Textile wastewater,Ibrahim D.T.,2021,Journal of Physics: Conference Series,Unknown Language,1,University of Baghdad,PHYS
Lead-like compounds for inhibiting Methionine amino peptidase 2 (MetAP2),AlMasraf G.,2021,Journal of Physics: Conference Series,Unknown Language,0,Maarif Schools Zayona,PHYS
The Influence of Zinc Oxide with Carbon Nanotube Composite NanoMaterials on Antibacterial Activity,Alias M.F.A.,2021,Journal of Physics: Conference Series,Unknown Language,7,University of Baghdad,"CENG, PHYS"
Effect of Adding Nanoparticles Ag<inf>2</inf>O on Mechanical Properties and Thermal Conductivity of PMMA/ Polypropylene Fiber Composites,Yassien H.A.,2021,Journal of Physics: Conference Series,Unknown Language,0,Wasit University,"MATE, PHYS"
The importance of doping TiO<inf>2</inf> into polypyrrol nanofibers to improve their optical sensitivity,Kareem O.A.,2021,Journal of Physics: Conference Series,Unknown Language,1,College of Medicine University of Tikrit,"MATE, PHYS"
Determining the features on the image of Satellite Sentinel-2 with different resolution and comparing them with images of Satellite Sentinel-1,Ameer G.,2021,Journal of Physics: Conference Series,Unknown Language,0,University of Baghdad,PHYS
Antimicrobial Activity of Zirconium Oxide Nanoparticles Prepared by the Sol-Gel Method,Thamir A.A.,2021,Journal of Physics: Conference Series,Unknown Language,14,Wasit University,PHYS
Change Detection for Wasit Province’s Land Coverbetween 2013 and 2020,Shahad S.H.,2021,Journal of Physics: Conference Series,Unknown Language,1,Wasit University,"ENVI, PHYS"
Non-covalent functionalization of CNTs with Chitosan for drug delivery system,Magid M.,2021,Journal of Physics: Conference Series,Unknown Language,8,Al-Nahrain University,PHYS
Study of the properties of MgO/ Poly methyl methacrylate Nano-composites,Aldabbagh B.,2021,Journal of Physics: Conference Series,Unknown Language,10,University of Technology- Iraq,"MATE, PHYS"
Synthesis and characterization of nickel nanoparticles formed by solution cold plasma jet,Abdulhadi O.O.,2021,Journal of Physics: Conference Series,Unknown Language,4,"Ministry of Education, Iraq; University of Anbar","MATE, PHYS"
Simulation and Numerical Modelling of CIGSSe-Based Solar Cells by AFORS-HET,Aswad A.J.,2021,Journal of Physics: Conference Series,Unknown Language,1,Tikrit University,PHYS
"Laser induced plasma of cadmium oxide: structural, morphological and optical properties",Hussein T.S.,2021,Journal of Physics: Conference Series,Unknown Language,1,University of Baghdad,PHYS
Omnidirectional Microstrip Patch Antenna for 2.4 GHz Wireless Communications,Abdulhussein A.M.,2021,Journal of Physics: Conference Series,Unknown Language,4,University of Kerbala,PHYS
Evolution of a Polydisperse Ensemble of Ellipsoidal Crystals with Fluctuating Growth Rates in Supercooled Melts,Nikishina M.A.,2021,Journal of Physics: Conference Series,Unknown Language,0,Ural Federal University,PHYS
Green synthesis of iron oxide nanoparticles (Fe2O3) using saffron extract,AL-Husseini A.H.,2021,Journal of Physics: Conference Series,Unknown Language,7,University of Baghdad,PHYS
The effect of Soil properties on the Biological Diversity of Fungi in Soil University of Anbar,Ali W.A.,2021,Journal of Physics: Conference Series,Unknown Language,3,University of Anbar,PHYS
Influence Metal Berylliumof the Optical FiberCoreon plasmonic Properties,John H.T.,2021,Journal of Physics: Conference Series,Unknown Language,1,Wasit University,PHYS
Theoretical investigation of the density and the heat capacity of [EMIM][BF<inf>4</inf>] and its MWCNTs ionanofluids: Effect of temperature and MWCNTs concentration,Hasen H.M.,2021,Journal of Physics: Conference Series,Unknown Language,1,University of Thi-Qar,PHYS
Synthesis and Characterization of Dextran coated Iron Oxide Nanoparticles as a T1 Contrast Agent,Ra’ad Z.,2021,Journal of Physics: Conference Series,Unknown Language,2,Al-Nahrain University,PHYS
"Synthesis, Characterization, and NH<inf>3</inf> Sensing Properties of (Zn<inf>0.7</inf> Mn<inf>0.3-x</inf> Ce<inf>x</inf> Fe<inf>2</inf>O<inf>4</inf>) Nano-Ferrite",Saheb L.,2021,Journal of Physics: Conference Series,Unknown Language,3,University of Baghdad,PHYS
Blended PVA/PVP Electro spun nanofibers for Coating Application,Mohammed R.,2021,Journal of Physics: Conference Series,Unknown Language,6,University of Babylon,PHYS
Monitoring Land Change of Cover in Al-Rusafa District In Baghdad City by using Remote Sensing and GIS Techniques,Hamdi H.Q.,2021,Journal of Physics: Conference Series,Unknown Language,2,University of Baghdad,PHYS
photonic cloning of seas and oceans,Al A’assam A.,2021,Journal of Physics: Conference Series,Unknown Language,1,Religious authority,PHYS
Disc damage likelihood scale recognition for Glaucoma detection,Mohammed F.G.,2021,Journal of Physics: Conference Series,Unknown Language,2,University of Baghdad,PHYS
Study the radioactive concentration for soil samples contaminated with depleted uranium in Al- Nahrawan site at Baghdad governorate using high purity germanium detector,Essa B.H.,2021,Journal of Physics: Conference Series,Unknown Language,2,Ministry of Science and Technology-Radioactive Waste Directorate,PHYS
Measuring of radioactive contamination by Gamma-ray Spectroscopy for many water projects in Baghdad City.,Saad H.,2021,Journal of Physics: Conference Series,Unknown Language,0,University of Baghdad,PHYS
"Influence of Sintering Time on Superconducting Properties of Bi,Pb-2223 Compound Doped with Indium",Abbas M.M.,2021,Journal of Physics: Conference Series,Unknown Language,0,Al-Hadi University College,PHYS
The Effect of Working Gases Mixing Ratios on the Synthesis and Characteristics of TiO<inf>2</inf>/SiO<inf>2</inf> Nanocomposite via Closed-Field unbalanced DC Magnetron Co- Sputtering Technique,Mutesher N.H.,2021,Journal of Physics: Conference Series,Unknown Language,0,University of Baghdad,PHYS
Biosynthesis and Characterization of ZnO: Ag2O Nanocomposite for Antifungal Efficacy,Fayyadh A.A.,2021,Journal of Physics: Conference Series,Unknown Language,4,Wasit University,PHYS
Blending Ratio Effect of ZnPc/ZnO Hybrid Nanocomposite on Surface Morphology and Structural Properties,Abbas K.F.,2021,Journal of Physics: Conference Series,Unknown Language,1,University of Baghdad,PHYS
Detect Environment Pollution by GIS for Some Regions in Baghdad City,Abdullah S.A.,2021,Journal of Physics: Conference Series,Unknown Language,2,University of Baghdad,"ENVI, PHYS"
Hydrophilic properties of nano-structure silicate synthesis by sol-gel-dipping technique,Ali F.H.,2021,Journal of Physics: Conference Series,Unknown Language,4,University of Baghdad,"MATE, PHYS"
"Structure, Morphology and Optical Properties of SnO<inf>2</inf> Nanoparticle Synthesized via Ultrasonic Spray Pyrolysis Technique: Effect of CuO Doping Concentration",Abdullah D.H.,2021,Journal of Physics: Conference Series,Unknown Language,3,University of Baghdad,PHYS
Art Image Compression Based on Lossless LZW Hashing Ciphering Algorithm,Mohammed S.G.,2021,Journal of Physics: Conference Series,Unknown Language,3,University of Baghdad,PHYS
Comparison of tree distribution in the province of Baghdad and other random by using high-resolution satellite image,Al-Hassany G.S.,2021,Journal of Physics: Conference Series,Unknown Language,1,University of Baghdad,PHYS
Detection of Groundwater in Iraq-Wasit Governorate Using Remote Sensing and GIS,Bahet A.S.,2021,Journal of Physics: Conference Series,Unknown Language,0,Wasit University,"EART, PHYS"
A comparison and classification of land use land cover to estimate their effect on environment: case study in Baghdad city,Ahmed B.A.,2021,Journal of Physics: Conference Series,Unknown Language,1,University of Baghdad,"ENVI, PHYS"
Studying the effect of diesel Power Generator noise on the publicity in Ramadi city,Farhan A.O.,2021,Journal of Physics: Conference Series,Unknown Language,5,University of Anbar,PHYS
Hyperthyroidism with radioactive iodine-131,Jary A.M.,2021,Journal of Physics: Conference Series,Unknown Language,0,Iraqi Atomic Energy Commission,PHYS
Tapered coated coreless optical fiber pollution sensor,Sura Ali B.,2021,Journal of Physics: Conference Series,Unknown Language,7,University of Baghdad,"ENVI, PHYS"
Improve X-ray images using quality assurance tests,Alhamd M.W.,2021,Journal of Physics: Conference Series,Unknown Language,0,Iraqi Atomic Energy Commission,PHYS
"The optical properties of C\Mg, nano-rods produced by the explosion wire technique",Hussein N.K.,2021,Journal of Physics: Conference Series,Unknown Language,2,University of Baghdad,PHYS
"Bioactive components, antibacterial activity, and toxicity of mangrove Bruguiera gymnorrhiza fruit extract",Lohoo H.J.,2021,AACL Bioflux,Unknown Language,0,Universitas Sam Ratulangi,"PHAR, AGRI"
"PHYSICOCHEMICAL CHARACTERIZATION OF PULP OF Musa acuminata, GROWN IN THE NORTH OF BOLIVAR (COLOMBIA)",Torrenegra Alarcon M.,2021,Pharmacologyonline,Unknown Language,0,Regional Bolívar (SENA),"ARTS, MEDI"
"A NEW BIBLIOGRAPHICAL COLLECTION OF EUROPEAN PLACE, FIELD AND WATER NAMES - INSTRUCTIONS FOR USE",Udolph J.,2021,Onomastica,Unknown Language,1,Akademie der Wissenschaften zu Göttingen,SOCI
PRACTICES of ORIENTATION and INDEPENDENT EVERYDAY MOBILITY of VISUALLY IMPAIRED URBAN CITIZENS,Sinitsyn V.,2021,Zhurnal Issledovanii Sotsial'noi Politiki,Unknown Language,0,HSE University,SOCI
